name,description
All Types of Cancer,This is not a cancer type by itself but to represent every type of cancer out there.
Brain and Other Nervous System,Cancer type related and developed in the brain and other related nervous system.
Colon and Rectum,A cancer of the colon or rectum which may begin as noncancerous polyps.
Esophagus,Cancer of the tube that runs from the throat to the stomach (esophagus)
Hodgkin Lymphoma,Cancer of the part of the immune system called the lymphatic system
Stomach,Cancer that occurs in the stomach
